bar,raw_n,raw_d,sixteens,different
1,6,4,24,1
2,6,4,24,0
3,6,4,24,0
4,6,4,24,0
5,6,4,24,0
6,6,4,24,0
7,6,4,24,0
8,6,4,24,0
9,6,4,24,0
10,6,4,24,0
11,6,4,24,0
12,6,4,24,0
13,6,4,24,0
14,6,4,24,0
15,6,4,24,0
16,6,4,24,0
17,6,4,24,0
18,6,4,24,0
19,13,8,26,1
20,13,8,26,0
21,13,8,26,0
22,13,8,26,0
23,6,4,24,1
24,6,4,24,0
25,6,4,24,0
26,6,4,24,0
27,6,4,24,0
28,6,4,24,0
29,6,4,24,0
30,6,4,24,0
31,13,8,26,1
32,13,8,26,0
33,13,8,26,0
34,13,8,26,0
35,6,4,24,1
36,6,4,24,0
37,6,4,24,0
38,11,8,22,1
39,6,4,24,1
40,6,4,24,0
41,6,4,24,0
42,6,4,24,0
43,6,4,24,0
44,6,4,24,0
45,6,4,24,0
46,6,4,24,0
47,6,4,24,0
48,13,8,26,1
49,13,8,26,0
50,13,8,26,0
51,7,4,28,1
52,7,4,28,0
53,7,4,28,0
54,7,4,28,0
55,5,4,20,1
56,9,8,18,1
57,27,8,54,1
58,8,4,32,1
59,8,4,32,0
60,2,4,8,1
61,8,4,32,1
62,8,4,32,0
63,5,4,20,1
64,9,4,36,1
65,5,4,20,1
66,9,4,36,1
67,5,4,20,1
68,6,4,24,1
69,7,4,28,1
70,7,4,28,0
71,7,4,28,0
72,7,4,28,0
73,3,4,12,1
74,6,4,24,1
75,6,4,24,0
76,6,4,24,0
77,6,4,24,0
78,6,4,24,0
79,6,4,24,0
80,6,4,24,0
81,6,4,24,0
82,4,4,16,1
83,4,4,16,0
84,4,4,16,0
85,4,4,16,0
86,4,4,16,0
87,4,4,16,0
88,4,4,16,0
89,4,4,16,0